slug,provider,actionButtons,toolType,description,tag,planType,planName,price,trial,availableApis,executionEnvironment
reclaim-protocol,Reclaim Protocol,"[""[Website](https://docs.reclaimprotocol.org/)""]",All in one,"It provides developers with SDKs and tools to integrate user identity, activity and reputation data from websites into applications using privacy-preserving zero-knowledge proofs.","[""Zero-knowledge proofs"",""Data verification"",""Identity verification"",""Private data""]",TBD,,Custom,TBD,TBD,
rivet-cloud-free,Rivet.cloud,"[""[Docs](https://rivet.cloud/docs/)""]",Debug,"It offers developer tools for EVM-based chains, functioning as a browser extension that helps engineers inspect, debug, modify and manipulate the state of a local Ethereum node, similar to browser DevTools or React DevTools","[""Cloud-Based Ethereum API Service""]",TBD,,$0/3K req,TBD,TBD,
rivet-cloud-pay-as-you-go,Rivet.cloud,"[""[Docs](https://rivet.cloud/docs/)""]",Debug,"It offers developer tools for EVM-based chains, functioning as a browser extension that helps engineers inspect, debug, modify and manipulate the state of a local Ethereum node, similar to browser DevTools or React DevTools","[""Cloud-Based Ethereum API Service""]",TBD,,$0.50/100K req,TBD,TBD,
rivet-dev-cloud-free,Rivet.clev,"[""[Website](https://www.rivet.dev/cloud/)""]",All in one,"It is cloud platform for building and scaling stateful backends with a focus on real-time applications, such as AI agents, multiplayer games and collaborative tools","[""AI Orchestration Tools""]",TBD,,$0,TBD,TBD,
rivet-dev-cloud-hobby,Rivet.clev,"[""[Buy](https://www.rivet.dev/cloud/#pricing)""]",All in one,"It is cloud platform for building and scaling stateful backends with a focus on real-time applications, such as AI agents, multiplayer games and collaborative tools","[""AI Orchestration Tools""]",TBD,,$20,TBD,TBD,
rivet-dev-cloud-team,Rivet.clev,"[""[Buy](https://www.rivet.dev/cloud/#pricing)""]",All in one,"It is cloud platform for building and scaling stateful backends with a focus on real-time applications, such as AI agents, multiplayer games and collaborative tools","[""AI Orchestration Tools""]",TBD,,$200,TBD,TBD,
rivet-dev-cloud-enterprise,Rivet.clev,"[""[Contact](https://www.rivet.dev/sales/)""]",All in one,"It is cloud platform for building and scaling stateful backends with a focus on real-time applications, such as AI agents, multiplayer games and collaborative tools","[""AI Orchestration Tools""]",TBD,,Custom,TBD,TBD,
sablier,Sablier,"[""[Website](https://sablier.com/)""]",Finances,"It provides the infrastructure for developers and businesses to build applications that manage on-chain token distribution, replacing traditional, discrete lump-sum payments","[""Container Orchestration"",""Auto-Scaling"",""Docker"",""Kubernetes"",""Serverless Technology""]",TBD,,$0,TBD,TBD,
spheron-network,Spheron Network,"[""[Website](https://www.spheron.network)""]",Hosting,"It provides various tools and SDKs to help developers integrate with its decentralized infrastructure, manage deployments and utilize its compute resources","[""Web3 Infrastructure"",""Deployment"",""Scaling""]",TBD,,Custom,TBD,TBD,
tenderly,Tenderly,"[""[Website](https://tenderly.co/)"",""[Docs](https://docs.tenderly.co/)""]",Debug,Comprehensive development platform offering advanced smart contract debugging transaction simulation and monitoring services,"[""Debugging"",""Monitoring"",""Simulation""]",TBD,,Custom,TBD,TBD,
thirdweb-pay-as-you-go,Thirdweb,"[""[Buy](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/)""]",All in one,"Leading all-in-one platform for Web3 developers to build, launch and manage applications with pre-built contracts and infrastructure tools","[""Smart Contracts"",""No-code"",""Account Abstraction"",""Payments"",""RPC""]",TBD,,$5/$99/$499/mo,TBD,TBD,
thirdweb-enterprise,Thirdweb,"[""[Contact](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/)""]",All in one,"Leading all-in-one platform for Web3 developers to build, launch and manage applications with pre-built contracts and infrastructure tools","[""Smart Contracts"",""No-code"",""Account Abstraction"",""Payments"",""RPC""]",TBD,,$1499/mo,TBD,TBD,
thx-network,THX Network,"[""[Docs](https://docs.thx.network/campaign-managers/getting-started)""]",All in one,"It offers simplified APIs and a robust infrastructure designed to help Web2 companies and developers quickly build and integrate Web3 services, such as embedding ERC20 and ERC721 tokens into their existing applications","[""Retention"",""Rewards"",""Community""]",TBD,,Custom,TBD,TBD,
venly-pay-as-you-go,Venly,"[""[Buy](https://www.venly.io/pricing)""]",Auth,"It provides a suite of APIs and SDKs designed to help businesses integrate Web3 capabilities into their applications, offering wallet-as-a-service and NFT solutions","[""APIs "",""Web3 Platform"",""Non-Fungible Tokens"",""Wallet-as-a-Service""]",TBD,,$99/$199/$499/mo,TBD,TBD,
venly-enterprise,Venly,"[""[Contact](https://login.venly.io/auth/realms/Arkane/protocol/openid-connect/auth?client_id=BusinessPortal&redirect_uri=https%3A%2F%2Fportal.venly.io%2F&state=750e1536-588e-4162-8994-5e2cd2964921&response_mode=fragment&response_type=code&scope=openid&nonce=7b1a0ee3-b817-48b9-879c-a4ccfa717bb1)""]",Auth,"It provides a suite of APIs and SDKs designed to help businesses integrate Web3 capabilities into their applications, offering wallet-as-a-service and NFT solutions","[""APIs "",""Web3 Platform"",""Non-Fungible Tokens"",""Wallet-as-a-Service""]",TBD,,Custom,TBD,TBD,
vialabs,VIA Labs,"[""[Docs](https://developer.vialabs.io/)""]",All in one,It offers APIs and smart contract modules,"[""Interoperability"",""Omnichain"",""Infrastructure""]",TBD,,Custom,TBD,TBD,
portal-free,Portal,"[""[Website](https://www.portalhq.io/)""]",Finances,"Stablecoin finance developer platform. Create wallets, move stablecoins and scale on-chain operations - all with simple SDKs and APIs.","[""Web"",""Developer Portal""]",TBD,,$0,TBD,TBD,
portal-pay-as-you-go,Portal,"[""[Website](https://www.portalhq.io/)""]",Finances,"Stablecoin finance developer platform. Create wallets, move stablecoins and scale on-chain operations - all with simple SDKs and APIs.","[""Web"",""Developer Portal""]",TBD,,$499,TBD,TBD,
portal-enterprise,Portal,"[""[Website](https://www.portalhq.io/)""]",Finances,"Stablecoin finance developer platform. Create wallets, move stablecoins and scale on-chain operations - all with simple SDKs and APIs.","[""Web"",""Developer Portal""]",TBD,,Custom,TBD,TBD,
